Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
Direcci¢n de Planificaci¢n y Desarrollo,,,,,,,,,,,,,
"Cantidad de energ¡a el‚ctrica facturada por las distribuidoras, seg£n provincia y mes, 2000",,,,,,,,,,,,,
(cifras expresadas en kWh),,,,,,,,,,,,,
Direcci¢n de Planificaci¢n y Desarrollo,,,,,,,,,,,,,
"Cantidad de energ¡a el‚ctrica facturada por las distribuidoras, seg£n provincia y mes, 2010",,,,,,,,,,,,,
(cifras expresadas en kWh),,,,,,,,,,,,,
Provincia,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Distrito Nacional,175141309,178831910,199622493,197379346,213637044,208148669,217856494,221137385,194688621,190200934,184039516,162511805,2343195526
Santo Domingo,115384896,109933369,118275277,119889003,125742202,121472513,126987583,127487117,122157950,116675374,119821495,112054920,1435881699
Total,290526205,288765279,317897770,317268349,339379246,329621182,344844077,348624502,316846571,306876308,303861011,274566725,3779077225
Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
Direcci¢n de Planificaci¢n y Desarrollo,,,,,,,,,,,,,
"Cantidad de energ¡a el‚ctrica facturada por las distribuidoras, seg£n provincia y mes, 2011",,,,,,,,,,,,,
(cifras expresadas en kWh),,,,,,,,,,,,,
Provincia,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Distrito Nacional,156653452,169026227,167957335,177090041,180598808,192383862,196619381,195230657,195115616,207146480,191081281,178569550,2207472690
Santo Domingo,110553924,110467799,110189699,114804375,114569816,120088028,121285328,121816755,123909335,126013294,124419160,119197183,1417314696
Total,267207376,279494026,278147034,291894416,295168624,312471890,317904709,317047412,319024951,333159774,315500441,297766733,3624787386
Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
Direcci¢n de Planificaci¢n y Desarrollo,,,,,,,,,,,,,
"Cantidad de energ¡a el‚ctrica facturada por las distribuidoras, seg£n provincia y mes, 2012",,,,,,,,,,,,,
(cifras expresadas en kWh),,,,,,,,,,,,,
Provincia,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Distrito Nacional,170640465,170164768,172624603,188861874,190208764,204576602,224909325,222659300,202287211,202951347,198755485,184906270,2333546014
Santo Domingo,126361770,127010268,128918782,129934669,134753389,146880959,130547248,121028781,146058216,150737245,146126756,140511340,1628869423
Total,297002235,297175036,301543385,318796543,324962153,351457561,355456573,343688081,348345427,353688592,344882241,325417610,3962415437
Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
Direcci¢n de Planificaci¢n y Desarrollo,,,,,,,,,,,,,
"Cantidad de energ¡a el‚ctrica facturada por las distribuidoras, seg£n provincia y mes, 2013",,,,,,,,,,,,,
(cifras expresadas en kWh),,,,,,,,,,,,,
Provincia,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Distrito Nacional,171734764,167167529,181359163,182917522,194598839,200271563,202391038,210967173,207105345,215329888,198288007,196592834,2328723665
Santo Domingo,123812581,124603239,126222274,131391196,136763709,136636900,142632956,147987425,149934061,149400121,140375333,131708860,1641468655
Total,295547345,291770768,307581437,314308718,331362548,336908463,345023994,358954598,357039406,364730009,338663340,328301694,3970192320
Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
Direcci¢n de Planificaci¢n y Desarrollo,,,,,,,,,,,,,
"Cantidad de energ¡a el‚ctrica facturada por las distribuidoras, seg£n provincia y mes, 2014",,,,,,,,,,,,,
(cifras expresadas en kWh),,,,,,,,,,,,,
Provincia,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Distrito Nacional,177854584,156982217,186285056,198183496,193205142,208712906,215467445,214084472,203904445,210057754,208707953,194205889,2367651359
Santo Domingo,127259620,126843998,133240358,140268388,138909641,146961922,151328875,148168639,142904450,146721249,150428975,148206493,1701242608
Total,305114204,283826215,319525414,338451884,332114783,355674828,366796320,362253111,346808895,356779003,359136928,342412382,4068893967
Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
Direcci¢n de Planificaci¢n y Desarrollo,,,,,,,,,,,,,
"Cantidad de energ¡a el‚ctrica facturada por las distribuidoras, seg£n provincia y mes, 2015",,,,,,,,,,,,,
(cifras expresadas en kWh),,,,,,,,,,,,,
Provincia,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Distrito Nacional,183270523,182202878,182128435,189149292,207538807,205153025,217471978,224113909,235274815,224310048,216284970,198940096,2465838776
Santo Domingo,140912643,139741657,139798696,146091797,152201141,154441020,161280933,167229266,149987373,167478854,160053412,153717000,1832933792
Total,324183166,321944535,321927131,335241089,359739948,359594045,378752911,391343175,385262188,391788902,376338382,352657096,4298772568
Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
Direcci¢n de Planificaci¢n y Desarrollo,,,,,,,,,,,,,
"Cantidad de energ¡a el‚ctrica facturada por las distribuidoras, seg£n provincia y mes, 2016",,,,,,,,,,,,,
(cifras expresadas en kWh),,,,,,,,,,,,,
Provincia,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Distrito Nacional,190843839,180605837,193707169,203497046,206997780,215913222,223290664,224617323,210439303,225533516,218653274,202138488,2496237461
Santo Domingo,153714226,145386979,151927911,159272181,161550491,168391962,169759052,172686887,188375288,170289374,166444881,156353114,1964152346
Total,344558065,325992816,345635080,362769227,368548271,384305184,393049716,397304210,398814591,395822890,385098155,358491602,4460389807
Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
Direcci¢n de Planificaci¢n y Desarrollo,,,,,,,,,,,,,
"Cantidad de energ¡a el‚ctrica facturada por las distribuidoras, seg£n provincia y mes, 2017",,,,,,,,,,,,,
(cifras expresadas en kWh),,,,,,,,,,,,,
Provincia,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Distrito Nacional,197324712,188826621,193542606,204569834,201948944,225961141,226896259,233175136,232423624,227159659,221389350,214518218,2567736104
Santo Domingo,148220559,142423119,152396211,157467399,157009049,168581436,167571495,174190792,169969757,167991187,168009794,164696382,1938527180
Total,345545271,331249740,345938817,362037233,358957993,394542577,394467754,407365928,402393381,395150846,389399144,379214600,4506263284
Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
Direcci¢n de Planificaci¢n y Desarrollo,,,,,,,,,,,,,
"Cantidad de energ¡a el‚ctrica facturada por las distribuidoras, seg£n provincia y mes, 2018",,,,,,,,,,,,,
(cifras expresadas en kWh),,,,,,,,,,,,,
